,predicted,lower_ci,upper_ci
2025-02-28,4964943.102,4468448.7918,5461437.4122
2025-03-31,4938232.072142857,4444408.8649285715,5432055.279357144
2025-04-30,4969060.748,4472154.6732,5465966.8228
2025-05-31,4915810.581,4424229.5229,5407391.6391
2025-06-30,4634063.187333333,4170656.8686,5097469.506066667
2025-07-31,5191732.500333333,4672559.2503,5710905.750366667
2025-08-31,5561323.418272846,5005191.076445562,6117455.760100132
2025-09-30,4625211.544128111,4162690.3897152995,5087732.698540922
2025-10-31,5249533.8012069175,4724580.421086226,5774487.181327609
2025-11-30,5123397.873138461,4611058.085824615,5635737.660452308
2025-12-31,5678132.107433565,5110318.896690208,6245945.318176922
2026-01-31,5612055.55934025,5050850.003406225,6173261.115274276
2026-02-28,4843704.085821799,4359333.677239619,5328074.49440398
2026-03-31,4819743.993882394,4337769.594494155,5301718.393270634
2026-04-30,5001031.993173116,4500928.793855804,5501135.192490428
2026-05-31,4898111.913028532,4408300.721725679,5387923.104331385
2026-06-30,4504807.158127235,4054326.4423145116,4955287.873939959
2026-07-31,5288377.636876456,4759539.873188811,5817215.400564102
2026-08-31,5672473.000512397,5105225.700461158,6239720.300563637
2026-09-30,4717651.830771078,4245886.64769397,5189417.0138481865
2026-10-31,5354451.901643119,4819006.711478807,5889897.091807432
2026-11-30,5225794.998861317,4703215.498975185,5748374.498747448
2026-12-31,5791616.248558777,5212454.6237029,6370777.873414655
2027-01-31,5724219.08302173,5151797.174719557,6296640.991323904
2027-02-28,4940511.202606657,4446460.082345991,5434562.322867323
2027-03-31,4916072.240080309,4424465.016072278,5407679.46408834
2027-04-30,5100983.49302321,4590885.143720889,5611081.842325532
2027-05-31,4996006.434161196,4496405.790745077,5495607.077577316
2027-06-30,4594841.021658783,4135356.9194929046,5054325.123824662
2027-07-31,5394072.077004226,4854664.869303804,5933479.284704649
2027-08-31,5785844.037737183,5207259.633963465,6364428.441510902
2027-09-30,4811939.645146152,4330745.680631537,5293133.609660768
2027-10-31,5461466.913579654,4915320.222221688,6007613.6049376195
2027-11-30,5330238.65144309,4797214.786298782,5863262.5165874
2027-12-31,5907368.503571312,5316631.653214181,6498105.353928444
2028-01-31,5838624.326499393,5254761.893849454,6422486.759149333
2028-02-29,5039526.342126871,4535573.707914185,5543478.976339559
2028-03-31,5014597.586705612,4513137.828035051,5516057.345376174
2028-04-30,5203214.734192247,4682893.260773022,5723536.207611471
2028-05-31,5096133.780064465,4586520.402058018,5605747.158070912
2028-06-30,4686928.42034593,4218235.578311337,5155621.262380524
2028-07-31,5502177.246162607,4951959.521546347,6052394.9707788685
2028-08-31,5901800.8954681195,5311620.805921308,6491980.985014932
2028-09-30,4908378.020809711,4417540.21872874,5399215.822890682
2028-10-31,5570922.774776329,5013830.497298696,6128015.0522539625
2028-11-30,5437064.504498584,4893358.054048726,5980770.954948443
2028-12-31,6025760.8910371745,5423184.801933457,6628336.980140893
2029-01-31,5955638.979151014,5360075.081235913,6551202.877066116
2029-02-28,5140247.196765924,4626222.4770893315,5654271.916442516
2029-03-31,5114820.210880001,4603338.189792001,5626302.231968001
2029-04-30,5307207.093656166,4776486.38429055,5837927.803021784
2029-05-31,5197986.0008559935,4678187.400770394,5717784.600941593
2029-06-30,4780602.191268234,4302541.97214141,5258662.410395057
2029-07-31,5612144.722664607,5050930.250398146,6173359.1949310675
2029-08-31,6019755.32009966,5417779.788089694,6621730.852109627
2029-09-30,5006477.722167526,4505829.949950774,5507125.4943842795
2029-10-31,5682264.211433414,5114037.7902900735,6250490.632576756
2029-11-30,5545730.626360671,4991157.5637246035,6100303.688996738
2029-12-31,6146192.801814665,5531573.5216331985,6760812.081996132
2030-01-31,6074669.421136675,5467202.479023008,6682136.363250343
2030-02-28,5242981.076016915,4718682.968415224,5767279.183618607
2030-03-31,5217045.901945148,4695341.311750633,5738750.492139663
2030-04-30,5413277.862599481,4871950.076339533,5954605.648859429
2030-05-31,5301873.857941207,4771686.472147086,5832061.243735327
2030-06-30,4876148.142555125,4388533.328299613,5363762.956810638
2030-07-31,5724310.028379879,5151879.025541891,6296741.0312178675
2030-08-31,6140067.202486317,5526060.4822376855,6754073.922734949
2030-09-30,5106538.061309493,4595884.255178544,5617191.867440443
2030-10-31,5795830.9375116695,5216247.8437605025,6375414.031262837
2030-11-30,5656568.568334652,5090911.711501187,6222225.4251681175
2030-12-31,6269031.685818573,5642128.517236716,6895934.854400432
